ProteinA	ProteinB	DomainA	DomainB
P17980	P28074	PF00004	PF00227
P17980	P35998	PF00004	PF00004
P17980	P17980	PF00004	PF00004
P17987	P78371	PF00118	PF00118
P17987	P49368	PF00118	PF00118
P17987	P50991	PF00118	PF00118
P17987	P48643	PF00118	PF00118
P17987	Q99832	PF00118	PF00118
P17987	P50990	PF00118	PF00118
P18031	P62993	PF00102	PF00017
P18074	Q13888	PF13307	PF04056
P18075	Q13873	PF00019	PF01064
P18847	P05412	PF00170	PF00170
P18847	P15336	PF00170	PF00170
P18847	P18847	PF00170	PF00170
P18847	Q15744	PF00170	PF07716
P18848	P05412	PF00170	PF00170
P18848	P18847	PF00170	PF00170
P18848	Q15744	PF00170	PF07716
P18848	P35638	PF00170	PF07716
P18850	P18850	PF00170	PF00170
P19012	P35900	PF00038	PF00038
P19235	O14508	PF00041	PF00017
P19235	P62993	PF00041	PF00017
P19235	P42229	PF00041	PF00017
P19387	P19387	PF01193	PF01193
P19387	P61218	PF01193	PF01192
P19387	P52434	PF01193	PF03870
P19387	P53803	PF01193	PF03604
P19387	P62875	PF01193	PF01194
P19387	P52435	PF01193	PF13656
P19438	Q15628	PF00531	PF00531
P19438	Q13158	PF00531	PF00531
P19438	Q13490	PF00531	PF00619
P19438	Q13489	PF00531	PF00619
P19474	P51668	PF15227	PF00179
P19474	P62837	PF15227	PF00179
P19784	P68400	PF00069	PF00069
P19793	Q15596	PF00104	PF08832
P19793	Q15788	PF00104	PF08832
P20151	P35237	PF00089	PF00079
P20336	Q9Y2J0	PF00071	PF02318
P20337	Q9Y2J0	PF00071	PF02318
P20338	Q96T51	PF00071	PF02759
P20339	Q9UKG1	PF00071	PF00169
P20594	P23582	PF01094	PF00212
P20594	P16860	PF01094	PF00212
P20594	P01160	PF01094	PF00212
P20618	P49720	PF00227	PF00227
P20618	P28074	PF00227	PF00227
P20618	P28062	PF00227	PF00227
P20618	P49721	PF00227	PF00227
P20794	P20794	PF00069	PF00069
P20823	P61457	PF04814	PF01329
P21580	P21580	PF02338	PF02338
P21673	P21673	PF00583	PF00583
P21675	Q15545	PF12157	PF04658
P21731	P50148	PF00001	PF00503
P21731	P29992	PF00001	PF00503
P21731	P21731	PF00001	PF00001
P21860	P29353	PF07714	PF00017
P22087	O00567	PF01269	PF01798
P22087	P55769	PF01269	PF01248
P22087	Q9Y2X3	PF01269	PF01798
P22301	Q13651	PF00726	PF01108
P22415	P22415	PF00010	PF00010
P22607	P31371	PF07679	PF00167
P22607	P05230	PF07679	PF00167
P22681	Q16539	PF00627	PF00069
P23297	P23297	PF01023	PF01023
P23297	P26447	PF01023	PF01023
P23396	P19838	PF07650	PF12796
P23396	P15880	PF00189	PF00333
P23511	P25208	PF02045	PF00808
P23528	P68133	PF00241	PF00022
P23763	Q12846	PF00957	PF05739
P24278	P24278	PF00651	PF00651
P24385	P38936	PF00134	PF02234
P24539	O75947	PF05405	PF05873
P24539	P06576	PF05405	PF02874
P24539	P25705	PF05405	PF02874
P24928	P35269	PF04998	PF05793
P24941	P46527	PF00069	PF02234
P24941	P24941	PF00069	PF00069
P24941	P50613	PF00069	PF00069
P24941	P49918	PF00069	PF02234
P24941	Q00526	PF00069	PF00069
P24941	Q8TD08	PF00069	PF00069
P25098	P50148	PF00615	PF00503
P25208	Q14919	PF00808	PF00808
P25490	P25490	PF00096	PF00096
P25685	P11142	PF00226	PF00012
P25786	P35998	PF00227	PF00004
P25786	P62195	PF00227	PF00004
P25786	Q06323	PF10584	PF02252
P25786	Q9UL46	PF10584	PF02252
P25787	P35998	PF00227	PF00004
P25787	P43686	PF00227	PF00004
P25787	P62333	PF00227	PF00004
P25787	P17980	PF00227	PF00004
P25787	P62195	PF00227	PF00004
P25787	Q9UL46	PF10584	PF02252
P25788	P17980	PF00227	PF00004
P25788	P43686	PF00227	PF00004
P25815	P25815	PF01023	PF01023
P26196	Q86TB9	PF00271	PF09770
P26358	P45973	PF00145	PF00385
P26358	O43463	PF00145	PF00385
P26358	Q14839	PF00145	PF00385
P27348	P63104	PF00244	PF00244
P27348	P61981	PF00244	PF00244
P27348	Q04917	PF00244	PF00244
P27348	P31947	PF00244	PF00244
P27348	P31946	PF00244	PF00244
P27361	P27361	PF00069	PF00069
P27361	P28482	PF00069	PF00069
P27986	P01112	PF00620	PF00071
P28062	P49720	PF00227	PF00227
P28062	P28072	PF00227	PF00227
P28065	P28074	PF00227	PF00227
P28065	P28062	PF00227	PF00227
P28065	P49721	PF00227	PF00227
P28065	P62195	PF00227	PF00004
P28070	P62195	PF00227	PF00004
P28070	P49720	PF00227	PF00227
P28070	P28074	PF00227	PF00227
P28070	P28062	PF00227	PF00227
P28070	P49721	PF00227	PF00227
P28070	P20618	PF00227	PF00227
P28070	P28072	PF00227	PF00227
P28070	P28065	PF00227	PF00227
P28072	P49720	PF00227	PF00227
P28074	P49720	PF00227	PF00227
P28074	P28072	PF00227	PF00227
P28288	P33897	PF00005	PF00005
P28482	Q02750	PF00069	PF00069
P28482	Q13233	PF00069	PF00069
P28482	P28482	PF00069	PF00069
P29034	P29034	PF01023	PF01023
P29218	P29218	PF00459	PF00459
P29218	O14732	PF00459	PF00459
P29274	P29274	PF00001	PF00001
P29320	P52799	PF01404	PF00812
P29323	P52799	PF01404	PF00812
P29353	P35968	PF00017	PF07714
P29353	O15357	PF00017	PF00017
P29353	Q99062	PF00017	PF00041
P29353	P07949	PF00017	PF07714
P29466	Q9NPP4	PF00619	PF00619
P29590	P29590	PF00643	PF00643
P30793	P30793	PF01227	PF01227
P30876	P19387	PF00562	PF01193
P30876	P62875	PF00562	PF01194
P31150	Q9H0U4	PF00996	PF00071
P31152	Q8IW41	PF00069	PF00069
P31689	P11142	PF00226	PF00012
P31946	P61981	PF00244	PF00244
P31946	Q04917	PF00244	PF00244
P31946	P63104	PF00244	PF00244
P31947	P63104	PF00244	PF00244
P32321	P32321	PF00383	PF00383
P32519	P19838	PF00178	PF12796
P32780	P29083	PF08567	PF11521
P32929	P32929	PF01053	PF01053
P33552	P24941	PF01111	PF00069
P33981	P33981	PF00069	PF00069
P34741	P34741	PF01034	PF01034
P34998	P55089	PF02793	PF00473
P35226	P61077	PF13923	PF00179
P35372	P41143	PF00001	PF00001
P35398	Q15788	PF00104	PF08832
P35579	P24844	PF00063	PF13405
P35638	Q16520	PF07716	PF00170
P35638	P17676	PF07716	PF07716
P35638	P01100	PF07716	PF00170
P35638	P05412	PF07716	PF00170
P35638	P18847	PF07716	PF00170
P35638	Q9NR55	PF07716	PF00170
P35916	P29353	PF07714	PF00017
P35998	P28074	PF00004	PF00227
P35998	P35998	PF00004	PF00004
P36404	O43924	PF00025	PF05351
P36404	Q9Y2Y0	PF00025	PF11527
P36507	P27361	PF00069	PF00069
P36507	P28482	PF00069	PF00069
P36873	P41236	PF00149	PF04979
P36873	P62136	PF00149	PF00149
P36897	P01137	PF01064	PF00019
P36897	O43318	PF00069	PF07714
P37173	P01137	PF08917	PF00019
P37198	Q7Z3B4	PF05064	PF13874
P37231	Q15596	PF00104	PF08832
P37231	Q9Y6Q9	PF00104	PF08832
P37231	Q15788	PF00104	PF08832
P37840	P37840	PF01387	PF01387
P38159	Q9UKM9	PF00076	PF00076
P38398	Q99728	PF00097	PF14835
P38398	P16104	PF00097	PF00125
P38398	P51668	PF00097	PF00179
P38398	P68036	PF00097	PF00179
P38398	Q7Z569	PF00097	PF13639
P38398	P63279	PF00097	PF00179
P38398	P62837	PF00097	PF00179
P38398	P61077	PF00097	PF00179
P38398	P51965	PF00097	PF00179
P38398	Q96LR5	PF00097	PF00179
P38398	Q969T4	PF00097	PF00179
P38398	Q96B02	PF00097	PF00179
P38398	P61086	PF00097	PF00179
P38398	P61088	PF00097	PF00179
P38936	P24941	PF02234	PF00069
P38936	P11802	PF02234	PF00069
P38936	Q00534	PF02234	PF00069
P38936	Q00535	PF02234	PF00069
P40337	Q13617	PF01847	PF00888
P40337	Q15369	PF01847	PF03931
P40337	Q16665	PF01847	PF11413
P40337	Q99814	PF01847	PF11413
P40424	P14653	PF00046	PF00046
P40616	P53365	PF00025	PF06456
P41134	P15172	PF00010	PF00010
P41182	P41182	PF00651	PF00651
P41220	Q6RFH5	PF00615	PF00400
P41240	Q9NWQ8	PF00017	PF15347
P42025	P61163	PF00022	PF00022
P42025	Q9NZ32	PF00022	PF00022
P42166	O75531	PF03020	PF02961
P42224	P42345	PF00017	PF00454
P42345	Q8N122	PF00454	PF00400
P42345	P40763	PF00454	PF00017
P42568	Q03111	PF03366	PF03366
P42575	Q9HB75	PF00619	PF00531
P42702	P26992	PF00041	PF00041
P42768	O43516	PF02205	PF02205
P42768	Q8TF74	PF02205	PF02205
P43119	P21731	PF00001	PF00001
P43119	P43119	PF00001	PF00001
P43351	P43351	PF04098	PF04098
P43405	Q8TF42	PF07714	PF14604
P43487	O14980	PF00638	PF08767
P43686	P62195	PF00004	PF00004
P43686	P17980	PF00004	PF00004
P43686	P35998	PF00004	PF00004
P43686	P62191	PF00004	PF00004
P43686	P28074	PF00004	PF00227
P43686	P62333	PF00004	PF00004
P45973	O43463	PF00385	PF00385
P45973	P51532	PF00385	PF00176
P45973	P51531	PF00385	PF00176
P45973	Q9H5I1	PF00385	PF00385
P45983	P35568	PF00069	PF00169
P45983	P45983	PF00069	PF00069
P45984	P45984	PF00069	PF00069
P45984	P45983	PF00069	PF00069
P45985	P45983	PF00069	PF00069
P45985	P45984	PF00069	PF00069
P45985	Q99683	PF00069	PF00069
P45985	Q9Y6R4	PF00069	PF00069
P45985	Q16539	PF00069	PF00069
P45985	O14733	PF00069	PF00069
P45985	O43318	PF00069	PF07714
P45985	P53779	PF00069	PF00069
P46100	Q06609	PF00271	PF14520
P46100	P45973	PF00176	PF00385
P46108	P11274	PF00017	PF00168
P46109	P19235	PF00017	PF00041
P46379	P46379	PF00240	PF00240
P46527	Q00534	PF02234	PF00069
P46527	P11802	PF02234	PF00069
P46527	P24385	PF02234	PF00134
P46527	P31749	PF02234	PF00069
P46527	Q00535	PF02234	PF00069
P46734	Q9Y6R4	PF00069	PF00069
P46926	Q8TDQ7	PF01182	PF01182
P46934	P62837	PF00632	PF00179
P46934	P68036	PF00632	PF00179
P46934	P61077	PF00632	PF00179
P46934	P51965	PF00632	PF00179
P46934	P51668	PF00632	PF00179
P47224	P20336	PF04421	PF00071
P47755	P52907	PF01267	PF01267
P47755	P47756	PF01267	PF01115
P48039	P08754	PF00001	PF00503
P48039	P04899	PF00001	PF00503
P48051	Q92806	PF01007	PF01007
P48431	P48431	PF00505	PF00505
P48549	P48544	PF01007	PF01007
P48637	P48637	PF03917	PF03917
P48775	P48775	PF03301	PF03301
P48995	Q13507	PF00520	PF00520
P48995	Q14573	PF00520	PF00520
P49023	Q05397	PF03535	PF03623
P49023	Q14289	PF03535	PF03623
P49336	P49336	PF00069	PF00069
P49418	Q99962	PF03114	PF03114
P49450	P04908	PF00125	PF00125
P49450	P33778	PF00125	PF00125
P49458	P37108	PF05486	PF02290
P49459	Q00987	PF00179	PF13920
P49459	Q5VTR2	PF00179	PF13920
P49459	P49459	PF00179	PF00179
P49639	P49639	PF00046	PF00046
