ProteinA	ProteinB	DM1	DM2	DM3
O14920	O14920	0.17989417989417988	0.15050329420509534	0.15050329420509534
O14920	O43318	0.18237295193156708	0.15345754853711044	0.19177963582732843
O14920	P12931	0.20001204734921074	0.18613031414938472	0.15904111127942783
O14920	Q13233	0.13999387226788448	0.13134927295298215	0.15624431346557163
O14965	Q9ULW0	0.18072456194097866	0.18774299153091956	0.18072456194097866
O14965	Q96EP1	0.1842337767359491	0.18072456194097866	0.19125220632589002
O14965	Q9NQS7	0.21491747538916425	0.21326577518477002	0.241006808104052
O14965	P53350	0.2304105581298029	0.1936975183962439	0.2209416296052229
O14965	O14965	0.26054590570719605	0.20481612643470376	0.20481612643470376
O14965	P49841	0.30449563986118616	0.22722674531719125	0.25842420815667916
O15111	O15111	0.18523489932885906	0.1553455705683684	0.1553455705683684
O15111	P19525	0.18517644256026422	0.15419556696181438	0.15180538687626655
O15111	P12931	0.20243479214208565	0.18873134299881178	0.17666100104369195
O15111	Q13233	0.14343399268424223	0.13500984219701725	0.10272799472445227
O15116	Q9Y333	0.2834177589624783	0.38018802754438313	0.29772917102591473
O15116	P62310	0.31155664144538187	0.3499176998287012	0.12759821615396344
O15117	Q86WV1	0.25237452467154786	0.2591543921173756	0.2474139288246861
O15144	P59998	0.5175760320760533	0.13441620222094183	0.9753204601565578
O15145	P61160	0.11134149962333716	0.5420101109827212	0.4307432613901006
O15151	P51668	0.6299047907037014	0.6427048734468669	0.7427288020504823
O15151	P62837	0.6427048734468669	0.6299047907037014	0.43273434396696175
O15169	Q92997	0.253475632699122	0.1230464236403505	0.3551940095751451
O15169	P49840	0.5065402614711085	0.4567646288409996	0.4567646288409996
O15169	Q9H2X6	0.10978452529273608	0.008203094909356699	0.11037476467603036
O15259	Q07912	0.08907431539548505	0.050231629264618126	0.05119762213509155
O15315	O43543	0.5627267215202717	0.6009033069778463	0.5015547791082114
O15372	P60228	0.4798792088052524	0.3050887685119486	0.5386723569039092
O15372	Q99613	0.5488090559691028	0.518330761069759	0.5041911440881078
O15372	Q7L2H7	0.5861045512508816	0.41215017574456325	0.5879952110936264
O15372	B5ME19	0.5490125556208509	0.5185651766809458	0.5044131524437954
O15392	P55210	0.2790565465110531	0.19848409561336122	0.2357022603955158
O15392	P42574	0.43562729795322785	0.28918885487087725	0.22901751830239284
O15392	O15392	0.1267605633802817	0.6267605633802817	0.6267605633802817
O15400	Q9BV40	0.6848411570162526	0.5047083375687013	0.15171639749596422
O15400	Q9UEU0	0.6526638337571642	0.5059848334399863	0.43568426465472276
O15400	O43752	0.5380293132517114	0.5657521575307775	0.7015034314403589
O15400	P63027	0.7434529989716578	0.7572507004499976	0.557467972762201
O15492	P08754	0.5257209899528195	0.22901131083546755	0.9346624469357896
O15511	P59998	0.04701703623601569	1.003316722385838	1.003316722385838
O15514	P24928	0.41828851844838016	0.0	0.39339039235026235
O15519	P42574	0.5113728580546686	0.2980647240670735	0.20011863898820753
O15524	Q15369	0.5866324117602216	0.5563020174263833	0.5462483665090391
O15525	Q14494	0.19510197433759205	0.07043578748398326	0.07688999670226809
O15525	O15525	0.10493827160493827	0.08012811719597017	0.08012811719597017
O15535	Q9NWS9	0.0	0.0	0.0
O15539	P08754	0.1857653408201947	0.2513715371208336	0.983178927739087
O15539	P04899	0.6953896637703404	0.18524205816999692	0.2513639914103872
O15539	P09471	0.6966448593749229	0.2513715371208336	0.983178927739087
O35625	P49841	0.24243661069253056	0.2474873734152916	0.12626906806902632
O43189	Q93062	0.01803843829557519	0.014430750636460151	0.014430750636460151
O43242	P48556	0.744162557883302	0.7361839672984938	0.6624193972082033
O43242	O00232	0.5637136053623711	0.6604264257508012	0.5854234440943291
O43251	O43251	0.07948717948717947	0.0572490091327336	0.020512820512820513
O43294	Q14289	0.29924142276179955	0.29924142276179955	0.35390379038573483
O43318	O15111	0.18502680773612287	0.155097382140575	0.1943050557830372
O43318	O43318	0.18481848184818478	0.1941066880725567	0.1941066880725567
O43318	P51617	0.40971429989575775	0.3509832976366814	0.3546732483838814
O43353	O43318	0.20337277518124444	0.1689712519118876	0.1558253832614799
O43463	O00257	0.013889597487592897	0.0	0.0
O43482	Q9NYP9	0.2276094789227084	0.3398499953607133	0.8095112102266296
O43488	O95154	0.0174343270309463	0.604684629036964	0.5991908679979145
O43502	O15315	0.4631716324908064	0.48851977930302243	0.5088726583027987
O43502	O43542	0.5718464833411987	0.5566914975675675	0.5286263668917325
O43502	O43543	0.5536721254687118	0.5750447253450083	0.4520432636871142
O43502	O75771	0.5145184446716317	0.34569231114998666	0.3266129020561312
O43521	P10415	0.5461237717773465	0.4642620280517736	0.6049602442811974
O43521	Q07817	0.4642620280517736	0.47431027694320343	0.5187610397128245
O43521	Q07820	0.5576042045928203	0.4699244903270239	0.4642620280517736
O43521	Q16548	0.4642620280517736	0.4841618531839337	0.5200593039936288
O43543	O75771	0.6056918621511023	0.16279633713798825	0.11694212751123642
O43557	Q92956	0.2147264827461502	0.38323835022863983	0.7707628257041863
O43598	O43598	0.13218390804597702	0.867816091954023	0.867816091954023
O43617	O75865	0.08087085314872819	0.9580638271595491	0.9580638271595491
O43617	Q9UL33	0.08258927081843613	0.9608685943095238	0.9608685943095238
O43617	Q8IUR0	0.13216784554947947	0.9319834419689359	0.9319834419689359
O43617	Q86SZ2	0.080946901666336	0.9612890914738484	0.9612890914738484
O43633	Q9Y3E7	0.07007364498245065	0.09909909909909909	0.06370331362040968
O43639	Q9NYB9	0.11164843913471802	0.2784319099409017	0.2867021646916216
O43639	Q99704	0.2437657587774677	0.0	0.0
O43734	O43734	0.26480836236933797	0.2709745367248184	0.2709745367248184
O43734	Q96F46	0.18724778874626344	0.4580771271321813	0.18601589539924857
O43752	Q9BV40	0.49575855764851684	0.21813300282262477	0.7179536471433003
O43791	Q13618	0.6559365018070566	0.5161501370693248	0.45580222020653716
O43809	Q8N684	0.46102116130224235	0.46102116130224235	0.44856112991569536
O43809	Q16630	0.5856214751677133	0.5793914594744398	0.46102116130224235
O43809	O43809	0.1541850220264317	0.9823788546255505	0.9823788546255505
O43924	Q9WUL7	0.04399833130734823	0.9890720371878942	0.9890720371878942
O54918	P10415	0.547008643797682	0.46178402036672483	0.6056597313796995
O54918	Q07817	0.46178402036672483	0.014430750636460151	0.4718850385308357
O54918	Q16548	0.46178402036672483	0.014430750636460151	0.4817862086587897
O54918	Q07820	0.4941035913824915	0.46747649928571067	0.46178402036672483
O60238	O60238	0.5159817351598174	0.0684931506849315	1.0
O60260	P62253	0.25409539059277836	0.2577951281200079	0.44924394221069247
O60260	Q9Y385	0.004561979233461596	0.15571927472725025	0.1334943461529788
O60260	P68036	0.22540439126486111	0.2704529647310584	0.12409262882561016
O60260	P00519	0.01368593770038479	0.04714045207910317	0.04714045207910317
O60260	P60604	0.30029672351573095	0.3034336545543325	0.1971855784129484
O60260	P61088	0.26087226932316726	0.2647437595738614	0.04849156952050044
O60260	P62837	0.14495503193717812	0.27820717424531693	0.06872010101148761
O60260	P61077	0.14495503193717812	0.27820717424531693	0.06872010101148761
O60260	Q13404	0.46661657170696585	0.3511778979508727	0.28865106482950065
O60260	Q16186	0.01368593770038479	0.01368593770038479	0.01368593770038479
O60264	Q9NRL2	0.6614002592087098	0.6614002592087098	0.6607281044737415
O60500	P06241	0.0	0.0	0.0
O60516	P06730	0.5816601800515975	0.335346608434066	0.32966236024451234
O60674	P19235	0.0	0.0	0.0
O60675	Q16236	0.07434674735247657	0.04903337895157324	0.5738847265430191
O60683	O60683	0.030674846625766868	0.018532279100605172	0.022645434141462268
O60763	O60763	0.0	0.0	0.0
O60832	Q6PI26	0.36274455326034327	0.36274455326034327	0.0
O60894	O60894	0.25	0.9932432432432432	0.9932432432432432
O60921	O60671	0.6112644510205069	0.04019893697685985	0.9602567215883396
O75030	P19532	0.4228973302139415	0.3750623421122562	0.4903840618201649
O75379	O43752	0.20797258270192573	0.3502680816343988	0.38544251994090234
O75379	O15400	0.5012059560134532	0.5869149949591306	0.6006747354426487
O75381	O75381	0.0	0.0	0.0
O75419	P33993	0.5072179384483009	0.5097165489825289	0.5072179384483009
O75444	O75444	0.2707774798927614	0.2654290894805116	0.26678634286953323
O75461	Q14186	0.0	0.0	0.0
O75461	Q14188	0.0	0.0	0.0
O75477	O94905	0.00408732243460432	0.0	0.06998361374149976
O75489	O75306	0.3740849700738726	0.9030671155546387	0.9030671155546387
O75489	O75251	0.3694252129630832	0.863380094209427	0.863380094209427
O75506	O75506	0.08321783316232576	0.08321783316232576	0.07443229275647868
O75525	Q5VWX1	0.0	0.0	0.0
O75525	O75525	0.0	0.0	0.05780346820809248
O75531	O75531	0.011235955056179773	1.0	1.0
O75553	P05067	0.4637518499989695	0.462833529503922	0.4637518499989695
O75558	O75558	0.6202090592334495	0.04542998191778849	0.04542998191778849
O75636	O75636	0.7726404003282323	0.7726404003282323	0.725752508361204
O75807	P62136	0.2649765631654018	0.1828934692428767	0.2549361243743784
O75807	P36873	0.26549570862663174	0.18449042143806976	0.2549361243743784
O75815	Q14511	0.6012274313469256	0.8147179841178235	0.4893004659160011
O75817	Q9BUL9	0.020203050891044214	0.025253813613805267	0.21718279707872531
O75969	P13861	0.0	0.10113367796571957	0.0
O76039	O76039	0.141747572815534	0.11529509446875341	0.11529509446875341
O76083	O76083	0.6239460370994941	0.15851602023608768	0.0
O88846	P51668	0.5127831519781377	0.49183623226758033	0.462899800055111
O94906	Q6P2Q9	0.02705190661287536	0.02705190661287536	0.08091349773387788
O94921	P38936	0.26053127021407746	0.20655358000545201	0.21402362609184467
O94921	Q8ND76	0.20655358000545201	0.45960720520679504	0.4578842637803191
O94921	O94921	0.29637526652452023	0.32200044951472023	0.32200044951472023
O94941	P68036	0.3870945572569541	0.3839105430912135	0.3960132730966921
O95071	Q9H074	0.600426028634639	0.6036403663445942	0.26110272525250017
O95071	P62837	0.3404099314135871	0.6860608566383765	0.41738068000084666
O95154	O95154	0.01812688821752266	0.03625377643504532	0.9697885196374622
O95155	P61077	0.5619055177754833	0.517013741755538	0.7283382236378051
O95155	P62837	0.5619055177754833	0.517013741755538	0.7283382236378051
O95166	Q9Y4P1	0.07856742013183861	0.2862780756102503	0.1816068323780794
O95166	O95166	0.11111111111111109	1.0	1.0
O95352	P60520	0.19556646721505105	0.09669836323918599	0.40011556587220126
O95352	O95166	0.20106107144512056	0.18726587823736318	0.07856742013183861
O95352	Q9H0R8	0.2019873220955619	0.18726587823736318	0.07856742013183861
O95628	P51965	0.5788749814895052	0.5715474500782456	0.21249841092652724
O95644	Q9BZS1	0.6464038788573079	0.6464038788573079	0.6431226408935652
O95704	P05067	0.46099688851382703	0.4941579690139131	0.462833529503922
O96015	Q96FJ2	0.14287417512483438	0.1404231930432688	1.0
P00352	P00352	0.8483033932135727	0.057884231536926144	0.9840319361277445
P00492	Q9NRG1	0.17859715643307425	0.9051694360481612	0.9051694360481612
P00519	Q9NYB9	0.28672448098159187	0.11302681492650465	0.2688834663748881
P00519	O15350	0.201236363828247	0.018900652956244195	0.0
P00533	P29353	0.086780212074523	0.07112953067890855	0.6164376042515516
P00533	P42229	0.3769973147123274	0.5381603213180046	0.06942094915961332
P00533	P40763	0.47227039526321557	0.466297973367103	0.4694631911188119
P00533	O15357	0.06954190657950343	0.05726980541841459	0.02980367424835861
P00533	P42224	0.4050283940663913	0.35389535866368466	0.06019173426629288
P00533	P17612	0.24222397477820862	0.24731530722805184	0.13144080822126686
P00533	Q13480	0.06136050580544421	0.025712973861328998	0.06252927734459551
P00533	Q8TF42	0.07057395649696299	0.0777923417416371	0.05960734849671722
P00533	Q9UJM3	0.13396163089132507	0.08145377103015161	0.05942021682159872
P00533	Q12929	0.06136050580544421	0.02980367424835861	0.30979773345098005
P00533	O75886	0.05998656073431781	0.03889029549061053	0.05038615183770894
P00533	Q14247	0.07824739967765357	0.1962579368800213	0.22082824020650063
P00533	P18031	0.06954190657950343	0.02980367424835861	0.08822775438020303
P00533	Q05209	0.06194489157501987	0.025712973861328998	0.05961424177622325
P00533	Q13387	0.20207285964251379	0.4720655368382154	0.4699923571130856
P00533	Q92918	0.12751080504365675	0.1222814056571797	0.1184859049909299
P00533	Q9NSE2	0.02980367424835861	0.05668541964883893	0.03973823233114482
P00734	P07204	0.22622869687479574	0.14096662518831493	0.03865213916453797
P00747	P08697	0.439748714676746	0.3804452089782464	0.47837982474981416
P00749	P07093	0.6160749320166038	0.47256205244442395	0.4134022789670639
P00749	P05154	0.5761824487088898	0.6060750603396495	0.45305610385386835
P00966	P00966	0.4975728155339806	0.8592233009708737	0.26941747572815533
P01040	P07711	0.243787050386085	0.9748236419277632	0.9748236419277632
P01100	P05412	0.06855508118030372	0.18807500185897208	0.19448576388594252
P01100	P17535	0.18552123292084996	0.5271891942542847	0.30255881431436954
P01100	O75444	0.18957286358888673	0.19624383872727238	0.19425761495940805
P01100	P17275	0.39534522776926023	0.4281948139436514	0.030007628133084458
P01112	P15056	0.5200414951583603	0.32923490340960937	0.20849344833952604
P01112	P04049	0.5200414951583603	0.5200414951583603	0.32923490340960937
P01112	Q8IZJ4	0.6130707296391815	0.419357269650501	0.35549939800213054
P01112	Q8WWW0	0.7390217657900336	0.6391271231800794	0.6340964093852255
P01116	P04049	0.5200414951583603	0.5200414951583603	0.32923490340960937
P01374	Q06643	0.39738778276811343	1.002441991568809	1.002441991568809
P02538	P19012	0.7364373839103171	0.5706475777996699	0.4822592301513514
P02647	P02647	0.4387780716801491	0.4387780716801491	0.5299923232460214
P02671	P00750	0.17614759673686237	0.17614759673686237	0.030137043538426424
P02766	P02766	0.21768707482993196	0.9523809523809523	0.9523809523809523
P02776	P02776	0.6237623762376238	0.14002114478941535	0.38613861386138615
P02792	P02792	0.08	0.8914285714285713	0.8914285714285713
P02794	P02792	0.08965159953160708	0.8829142113872218	0.8829142113872218
P03372	Q15788	0.31849515522352057	0.16875489567813404	0.31849515522352057
P04049	O14807	0.322957424099625	0.46913815290261324	0.05439282932204212
P04049	P10301	0.5514135449619866	0.5514135449619866	0.5254646722578931
P04075	P04075	0.04120879120879121	1.0027472527472527	1.0027472527472527
P04075	P09972	0.07936185069040819	0.0440418119282456	0.047025392221493656
P04150	Q9Y6Q9	0.29212519531645015	0.491425562214589	0.29667543200362223
P04150	Q15788	0.11466596451673744	0.29303524265388453	0.2229615976714339
P04150	Q15596	0.29303524265388453	0.2957653846661878	0.491425562214589
P04198	P61244	0.23011449129131178	0.3200267759680495	0.24078205049024676
P04259	P19012	0.7364373839103171	0.5706475777996699	0.4822592301513514
P04591	P62937	0.2203048601482924	0.21284244917928247	0.8711772261786374
P04608	P50750	0.2661154552852598	0.2908261761331768	0.2661154552852598
P04608	P51825	0.4341986267947147	0.431861083716412	0.41316073908999096
P04626	P29353	0.08345481369088498	0.06703216284055684	0.6152989837930846
P04626	P40763	0.4714565274996218	0.46624804166948114	0.4687198638718187
P04629	P29353	0.10750112544720807	0.07467087935549674	0.09531577466148493
P04629	P04629	0.15075376884422106	0.06030150753768844	0.09616914175379214
P04637	Q16611	0.618858505668334	0.5248248239909061	0.4336462340842995
P04637	O15151	0.0	0.0	0.0
P04637	Q13625	0.700254036746528	0.6841598544735314	0.6970243377298131
P04792	P04792	0.09268292682926828	0.08567886863536729	0.08567886863536729
P05019	Q16270	0.20159238915234184	0.4558459774427984	0.4558459774427984
P05067	Q99767	0.525514075610812	0.5249575291399827	0.46099688851382703
P05067	Q02410	0.6673262510635734	0.529723830895253	0.5185296876914871
P05109	P05109	0.0	0.053763440860215055	0.5161290322580644
P05113	Q01344	0.2492381981618556	0.811916980776649	0.811916980776649
P05113	P05113	0.16417910447761191	1.0	1.0
P05198	P19525	0.14373132394354504	0.12833153923530807	0.14373132394354504
P05230	P22455	0.3603963594434661	0.41514011024500524	0.36495833867692773
P05231	P08887	0.19974124123141107	0.7805598802518852	0.7805598802518852
P05362	P20701	0.12493991998408921	0.07709058892635291	0.0
P05386	P05387	0.14476647077924093	0.1836953661226024	0.22359169905448953
P05412	P15336	0.26958961185320196	0.22088592778650676	0.06195195363870054
P05412	P05412	0.2688821752265861	0.37705694628973246	0.37705694628973246
P05412	Q16236	0.6056523344265018	0.19104584519543258	0.07360143795100571
P05423	Q9NW08	0.5081219583400819	0.6189577037779557	0.5116752587480544
P05423	Q9NVU0	0.27538078161787655	0.5098986085440681	0.408629546916849
P05783	P05787	0.4608067547306852	0.6649562960873666	0.5695153234007074
P06213	P35568	0.024559425106334503	0.05321208773039142	0.06191021745555156
P06213	Q05655	0.13902202766588384	0.08182282345109647	0.12649535801988518
P06213	O15357	0.06191021745555156	0.0250710797960498	0.05321208773039142
P06241	O43281	0.15406237131997402	0.13562755765775492	0.06978893743554379
P06400	Q14186	0.6728181980471136	0.685798559150443	0.7002557171906478
P06400	Q14188	0.6728181980471136	0.6954528646651973	0.6842477257602582
P06401	Q15788	0.4736781760360045	0.4736781760360045	0.34104828674592325
P06702	P06702	0.0	0.21052631578947364	0.15506727657599725
P06703	Q9HB71	0.5365327769529505	0.5520395046105502	0.6078637241779092
P06730	Q13541	0.5770992504070236	0.29333130928988616	0.2868155870650525
P06730	Q13542	0.5572443339664706	0.5539859606323627	0.39758757315950854
P06746	P18887	0.07387682788516167	0.565685424949238	0.42848560173393774
P06748	O75607	0.0	0.0	0.0
P06748	P06748	0.0	0.0	0.0
P06753	P06753	0.23550630448490997	0.23550630448490997	0.5758075411172642
P06850	P34998	0.4798224586623001	0.4798224586623001	0.4689993956849549
P07288	P05154	0.8061389384184943	0.7436465993655803	0.6011752421118058
P07332	P11274	0.5040430714044154	0.5001486988880457	0.5045994103353254
P07737	P60709	0.22731560766372455	0.010782533957690688	0.010782533957690688
P07858	P01040	0.4252794334480935	0.16934639548739397	0.961293335201308
P07858	P04080	0.2583366914738267	0.16934639548739397	0.961293335201308
P07900	O95433	0.45015267764061634	0.4433907275473023	0.44532271328824913
P07900	Q15185	0.0	0.0	0.0
P07900	Q9Y2Z0	0.0	0.3971421647760061	0.42426406871192845
P07900	Q7L3B6	0.32522715455167617	0.35460251044666624	0.5308546458166069
P07910	Q96IZ5	0.08560614784340768	0.2872399663726791	0.4057731407777524
P07910	P07910	0.0	0.0	0.0
P07910	Q86SE5	0.0	0.0	0.0
P07910	Q9UKM9	0.0	0.0	0.0
P07948	Q8WWW8	0.13258252147247765	0.14363106492851746	0.44746600996961206
P07949	P40763	0.47297291625274535	0.46921366817274546	0.4655884909890644
P07951	P07951	0.6936619718309859	0.7993267971891235	0.5708190675297946
P08069	P35568	0.053278711384209504	0.022759837872866194	0.06207228510781689
P08069	P29353	0.08256143348835451	0.06591657778248651	0.06705057369545203
P08238	O95433	0.4502434062527602	0.4502434062527602	0.4502434062527602
P08238	Q16543	0.32736425054932755	0.4190262407031392	0.0130945700219731
P08238	Q15185	0.0	0.0	0.0
P08393	P51668	0.187599758273982	0.2693740118805895	0.2693740118805895
P08393	P51965	0.21249841092652724	0.21249841092652724	0.11724050258015295
P08581	P14210	0.1690062911077737	0.1690062911077737	0.1690062911077737
P08670	P35900	0.5168029804444617	0.2306442719750112	0.3490847339786646
P08670	P08670	0.3240343347639485	0.23823125460576813	0.23823125460576813
P08754	P04899	0.808180199657776	0.5821778778452786	0.5821050038324483
P09467	P09467	0.24233279739319796	0.24233279739319796	0.0
P09467	O00757	0.0354506330079088	0.5908438834651466	0.5908438834651466
P09493	P09493	0.5795704053786012	0.31338028169014087	0.5795704053786012
P09493	P07951	0.8046718439421423	0.5834508104753956	0.4474048468720053
P09493	P67936	0.8340262373675313	0.6093701741199746	0.6034680673237098
P09493	P06753	0.5834102815964125	0.4473582055108764	0.23623547909687329
P09661	P62316	0.19776964264205715	0.8298376875555091	0.8298376875555091
P09661	P62314	0.291161615782696	0.0	0.024956709924231088
P0C7T5	P54253	0.5544336644130264	0.5571923557298967	0.5128540809493167
P10074	Q96BR9	0.0	0.0	0.0
P10145	P10145	0.0	0.3232323232323232	0.9393939393939393
P10242	Q09472	0.0	0.14473591927412144	0.0011048543456039805
P10275	Q9Y6Q9	0.6070807947292557	0.30700283535738027	0.6078502253943118
P10275	Q15788	0.6078502253943118	0.6078502253943118	0.30700283535738027
P10275	Q15596	0.6063113640641995	0.6063113640641995	0.30700283535738027
P10276	Q15596	0.48517932821674364	0.0	0.0
P10276	Q15788	0.48517932821674364	0.41477475692977134	0.358144993068511
P10276	Q9Y6Q9	0.48517932821674364	0.4897709306919809	0.0
P10398	P10301	0.5514135449619866	0.5514135449619866	0.5254646722578931
P10398	P01116	0.5200414951583603	0.32923490340960937	0.5200414951583603
P10415	Q14457	0.4082875975052031	0.4082875975052031	0.2958605779023211
P10515	P11177	0.25729557229068395	0.6270375831616828	0.19016472940720133
P10599	Q9H3M7	0.31495967442601114	0.8923632468693071	0.8923632468693071
P10600	P37173	0.3913115196857593	0.3844464053053073	0.3054975899301103
P10721	P21583	0.1813094310734737	0.044032290403557904	0.1813094310734737
P10809	P61604	0.08024801485921035	0.9760055261513638	0.9760055261513638
P10827	Q15788	0.4199348435209905	0.41560561833005244	0.41560561833005244
P10828	Q15596	0.45862240254832476	0.40186979755070595	0.45862240254832476
P10828	Q15788	0.45862240254832476	0.45862240254832476	0.40186979755070595
P10828	Q9Y6Q9	0.45862240254832476	0.4003359433615811	0.36352344282258514
P10912	O60674	0.0	0.0	0.0
P10912	O14508	0.24584372878863844	0.5378401675371441	0.5378401675371441
P10914	Q00978	0.1805841933491798	0.05874425566780548	0.0
P11021	Q8IXB1	0.45302406929229877	0.5773624176660801	0.27354436642231883
P11142	Q92598	0.1219717990857914	0.42937369813309006	0.5117870758937598
P11142	P54652	0.0	0.0	0.0
P11142	Q9NXW2	0.16404877323527903	0.1697056274847714	0.08322672850369817
P11142	O60884	0.0	0.0	0.0
P11177	O00330	0.0	0.0	0.5968060019485345
P11233	Q13393	0.4633952206805044	0.1503646970084788	0.24371156050604306
P11234	Q15311	0.4462324347293747	0.2334138889353652	0.3844464053053073
P11274	P08631	0.5040430714044154	0.5001486988880457	0.5001486988880457
P11274	P62993	0.6078379057658041	0.538832218525012	0.5139814557814593
P11274	P46109	0.5045994103353254	0.5100954422596332	0.5201286740317209
P11274	P00519	0.5045994103353254	0.5045994103353254	0.5001486988880457
P11441	P46379	0.0	0.24320870180938575	0.0
P11473	Q15788	0.5067322600540598	0.22852631335771326	0.5680038078383742
P11831	P11831	0.28347140192984444	0.2844641442074883	0.2925232617070261
P11940	Q8IYD1	0.49808779555278815	0.3958019089660549	0.15454063299517312
P12004	Q9UBT6	0.4284508348439537	0.3600555219145294	0.43112012771951336
P12004	Q9UBZ9	0.3679668381714168	0.39680298220734544	0.5806499113249339
P12524	P61244	0.3554959916404895	0.1534654827300474	0.1534654827300474
P12643	Q13873	0.4053364629528946	0.1803479416662659	0.4089077093225237
P12643	P36894	0.4053364629528946	0.4053364629528946	0.1803479416662659
P12757	Q15796	0.28768798378039406	0.5405505800505299	0.04693856577469587
P13501	P51681	0.24088252985475794	0.2603394579221434	0.15719743693089205
P13501	P32246	0.4826900432523642	0.24088252985475794	0.114084062937865
P13631	Q15788	0.49372874369192854	0.49372874369192854	0.49372874369192854
P13798	P13798	0.4030054644808743	0.29371584699453546	0.8617094988878725
P13805	P13805	0.593525179856115	0.5881322464899511	0.5899390242883084
P13805	P09493	0.6034435826114116	0.4467520424367245	0.7140028187101148
P13861	Q12802	0.0	0.0	0.0
P14317	Q9H788	0.07209461513413637	0.3092939632744192	0.3192661195509054
P14373	P36406	0.17113631132516216	0.1216739423226303	0.12072554800745934
P14678	P62318	0.15713484026367722	0.12907504735944914	0.08838834764831843
P14778	Q99836	0.6578172881631152	0.8093063383767727	0.5377842129547599
P14778	P51617	0.32673894804827824	0.15095538025330787	0.38632659814826825
P15172	P15923	0.0908210544643272	0.3730150451213438	0.36436542088664603
P15173	P15923	0.0302736848214424	0.07785684625634517	0.08649624234697828
P15313	Q9Y5K8	0.23415989021455116	0.8059197173551885	0.8059197173551885
P15336	P15336	0.05544554455445544	0.04340655488471876	0.04340655488471876
P15336	P01100	0.11156282364326588	0.01866068004951717	0.10221543569627319
P15407	P05412	0.18799213517950508	0.3268916190431334	0.4071902618755396
P15408	P05412	0.18804218094262679	0.20126792115208914	0.3268499623007304
P15408	P17275	0.25064591955603843	0.39364978178675436	0.29955244044502155
P15531	O00746	0.029974844787795815	0.1455606076594392	0.9230954160363612
P15531	Q13232	0.09494274345511323	0.9250318794751553	0.9250318794751553
P15531	P15531	0.032894736842105254	0.9210526315789473	0.9210526315789473
P15531	P22392	0.032894736842105254	0.9210526315789473	0.9210526315789473
P15884	Q02363	0.2746569885598225	0.22474758262600908	0.16266847000986737
P15884	P41134	0.30531747073721993	0.629717283395516	0.27139330732197325
P15918	P55895	0.48066990207215937	0.004745683095211728	0.26033461550875764
P15923	Q02535	0.42999965598773615	0.10261469902046129	0.0908210544643272
P15923	P41134	0.0908210544643272	0.18596692104600332	0.4151819632654958
P15923	P15923	0.5183486238532109	0.10647517038870753	0.10647517038870753
P15923	Q02363	0.08649624234697828	0.3668027999395508	0.13190676957914188
