Protein	Domain	ProteinLength	DomainLength	DomainStart	DomainEnd
O75969	PF10522	853	18	122	140
O76039	PF00069	1030	284	13	297
O76083	PF00233	593	230	311	541
O88846	PF13639	194	47	134	181
O94906	PF06424	941	156	13	169
O94921	PF00069	469	284	135	419
O94941	PF04564	541	78	259	337
O95071	PF00658	2799	65	2384	2449
O95071	PF00632	2799	301	2498	2799
O95154	PF00248	331	308	12	320
O95155	PF04564	1302	71	1228	1299
O95166	PF02991	117	103	13	116
O95352	PF00899	703	315	333	648
O95628	PF14570	575	47	14	61
O95644	PF00554	943	160	428	588
O95704	PF00640	486	138	119	257
O96015	PF01221	105	84	20	104
P00352	PF00171	501	463	29	492
P00492	PF00156	218	160	36	196
P00519	PF07714	1130	251	242	493
P00519	PF00018	1130	46	67	113
P00533	PF07714	1210	256	712	968
P00734	PF00089	622	249	364	613
P00747	PF00089	810	222	581	803
P00749	PF00089	431	240	179	419
P00966	PF00764	412	395	8	403
P01040	PF00031	98	88	4	92
P01100	PF00170	380	62	135	197
P01112	PF00071	189	160	5	165
P01116	PF00071	189	160	5	165
P01374	PF00229	205	128	77	205
P02538	PF00038	564	313	162	475
P02647	PF01442	267	193	69	262
P02671	PF08702	866	142	49	191
P02766	PF00576	147	107	32	139
P02776	PF00048	101	59	39	98
P02792	PF00210	175	141	14	155
P02794	PF00210	183	141	18	159
P03372	PF00104	595	199	332	531
P04049	PF02196	648	72	57	129
P04075	PF00274	364	349	15	364
P04150	PF00104	777	192	549	741
P04198	PF00010	464	52	382	434
P04259	PF00038	564	313	162	475
P04591	PF00607	500	214	149	363
P04608	PF00539	86	62	2	64
P04626	PF07714	1255	256	720	976
P04629	PF07714	796	271	510	781
P04637	PF00870	393	194	95	289
P04637	PF08563	393	24	5	29
P04792	PF00011	205	97	87	184
P05019	PF00049	195	58	51	109
P05067	PF10515	770	50	716	766
P05109	PF01023	93	42	5	47
P05113	PF02025	134	111	22	133
P05198	PF00575	315	74	14	88
P05230	PF00167	155	123	25	148
P05231	PF00489	212	185	27	212
P05362	PF03921	532	91	24	115
P05386	PF00428	114	91	22	113
P05412	PF00170	331	63	250	313
P05423	PF05132	398	126	263	389
P05783	PF00038	430	312	79	391
P06213	PF07714	1382	267	1023	1290
P06241	PF07714	537	249	271	520
P06400	PF08934	928	157	768	925
P06401	PF00104	933	187	704	891
P06702	PF01023	114	42	8	50
P06703	PF01023	90	38	5	43
P06730	PF01652	217	159	38	197
P06746	PF14791	335	66	268	334
P06748	PF03066	294	100	17	117
P06753	PF00261	285	236	49	285
P06850	PF00473	196	37	157	194
P07288	PF00089	261	228	25	253
P07332	PF00017	822	70	460	530
P07737	PF00235	140	138	2	140
P07858	PF00112	339	249	80	329
P07900	PF00183	732	526	196	722
P07900	PF02518	732	154	40	194
P07910	PF00076	306	63	18	81
P07948	PF07714	512	250	247	497
P07949	PF07714	1114	281	724	1005
P07951	PF00261	284	236	48	284
P08069	PF07714	1367	267	999	1266
P08238	PF00183	724	522	191	713
P08238	PF02518	724	154	35	189
P08393	PF00097	775	40	116	156
P08581	PF01403	1390	441	55	496
P08670	PF00038	466	308	102	410
P08754	PF00503	354	330	13	343
P09467	PF00316	338	187	12	199
P09493	PF00261	284	236	48	284
P09661	PF14580	255	174	1	175
P0C7T5	PF08517	689	113	469	582
P10074	PF00651	688	103	16	119
P10145	PF00048	99	60	32	92
P10242	PF07988	640	46	267	313
P10275	PF00104	919	191	689	880
P10276	PF00104	462	177	224	401
P10398	PF02196	606	69	20	89
P10415	PF00452	239	98	97	195
P10515	PF02817	647	35	355	390
P10599	PF00085	105	102	2	104
P10600	PF00019	412	98	313	411
P10721	PF00047	976	89	216	305
P10809	PF00118	573	503	47	550
P10827	PF00104	490	175	205	380
P10828	PF00104	461	180	265	445
P10912	PF00041	638	85	159	244
P10914	PF00605	325	105	7	112
P11021	PF00012	654	606	30	636
P11142	PF00012	646	606	6	612
P11177	PF02780	359	123	226	349
P11233	PF00071	206	161	16	177
P11234	PF00071	206	162	16	178
P11274	PF00168	1271	106	911	1017
P11441	PF00240	157	71	3	74
P11473	PF00104	427	190	216	406
P11831	PF00319	508	47	150	197
P11940	PF00658	636	67	547	614
P12004	PF00705	261	124	1	125
P12524	PF00010	364	52	282	334
P12643	PF00019	396	101	294	395
P12757	PF08782	684	94	261	355
P13501	PF00048	91	57	31	88
P13631	PF00104	454	177	226	403
P13798	PF00326	732	216	516	732
P13805	PF00992	278	136	69	205
P13861	PF02197	404	37	8	45
P14317	PF00018	486	45	434	479
P14373	PF00643	513	41	91	132
P14678	PF01423	240	75	7	82
P14778	PF01582	569	177	387	564
P14778	PF07679	569	60	49	109
P15172	PF00010	320	51	110	161
P15173	PF00010	224	51	82	133
P15313	PF00006	513	226	167	393
P15336	PF00170	505	63	350	413
P15407	PF00170	271	63	103	166
P15408	PF00170	326	61	122	183
P15531	PF00334	152	134	5	139
P15884	PF00010	667	53	565	618
P15918	PF12940	1043	644	384	1028
P15923	PF00010	654	53	550	603
P16104	PF00125	143	89	2	91
P16220	PF02173	341	40	113	153
P16333	PF14604	377	48	113	161
P16389	PF02214	499	91	35	126
P16435	PF00258	677	137	82	219
P16444	PF01244	411	327	25	352
P16619	PF00048	93	57	32	89
P17028	PF02023	368	89	48	137
P17040	PF02023	1043	89	47	136
P17081	PF00071	205	173	11	184
P17252	PF00069	672	258	339	597
P17275	PF00170	347	63	266	329
P17342	PF01094	541	354	71	425
P17542	PF00010	331	52	188	240
P17612	PF00069	351	254	44	298
P17676	PF07716	345	53	270	323
P17706	PF00102	415	232	42	274
P17980	PF00004	439	133	223	356
P17987	PF00118	556	507	28	535
P18031	PF00102	435	236	40	276
P18074	PF13307	760	176	524	700
P18075	PF00019	431	102	328	430
P18847	PF00170	181	61	84	145
P18848	PF00170	351	63	276	339
P18850	PF00170	670	62	305	367
P19012	PF00038	456	312	104	416
P19235	PF00041	508	86	146	232
P19387	PF01193	275	236	20	256
P19438	PF00531	455	85	356	441
P19474	PF15227	475	39	16	55
P19784	PF00069	350	285	40	325
P19793	PF00104	462	185	257	442
P20151	PF00089	261	228	25	253
P20336	PF00071	220	161	24	185
P20337	PF00071	219	161	24	185
P20338	PF00071	218	161	15	176
P20339	PF00071	215	161	22	183
P20594	PF01094	1047	356	44	400
P20618	PF00227	241	192	34	226
P20794	PF00069	623	280	4	284
P20823	PF04814	631	160	8	168
P21580	PF02338	790	159	98	257
P21673	PF00583	171	131	14	145
P21675	PF12157	1872	463	565	1028
P21731	PF00001	343	267	41	308
P21860	PF07714	1342	256	709	965
P22087	PF01269	321	227	88	315
P22301	PF00726	178	169	5	174
P22415	PF00010	310	55	200	255
P22607	PF07679	806	85	160	245
P22681	PF00627	906	36	856	892
P23297	PF01023	94	42	5	47
P23396	PF07650	243	76	20	96
P23396	PF00189	243	83	105	188
P23511	PF02045	347	55	263	318
P23528	PF00241	166	140	11	151
P23763	PF00957	118	88	30	118
P24278	PF00651	435	104	14	118
P24385	PF00134	295	127	26	153
P24539	PF05405	256	161	83	244
P24928	PF04998	1970	597	830	1427
P24941	PF00069	298	282	4	286
P25098	PF00615	689	120	54	174
P25208	PF00808	207	65	57	122
P25490	PF00096	414	24	383	407
P25685	PF00226	340	61	4	65
P25786	PF00227	263	186	29	215
P25786	PF10584	263	22	6	28
P25787	PF00227	234	184	29	213
P25787	PF10584	234	22	6	28
P25788	PF00227	255	186	31	217
P25815	PF01023	95	42	4	46
P26196	PF00271	483	109	320	429
P26358	PF00145	1616	455	1139	1594
P27348	PF00244	245	220	9	229
P27361	PF00069	379	288	42	330
P27986	PF00620	724	153	129	282
P28062	PF00227	276	182	69	251
P28065	PF00227	219	181	17	198
P28070	PF00227	264	187	50	237
P28072	PF00227	239	182	31	213
P28074	PF00227	263	182	56	238
P28288	PF00005	659	143	456	599
P28482	PF00069	360	288	25	313
P29034	PF01023	98	42	6	48
P29218	PF00459	277	265	5	270
P29274	PF00001	412	265	23	288
P29320	PF01404	983	172	30	202
P29323	PF01404	1055	176	21	197
P29353	PF00017	583	71	488	559
P29466	PF00619	404	87	3	90
P29590	PF00643	882	42	124	166
P30793	PF01227	250	178	71	249
P30876	PF00562	1174	373	707	1080
P31150	PF00996	447	435	1	436
P31152	PF00069	587	292	20	312
P31689	PF00226	397	59	6	65
P31946	PF00244	246	220	11	231
P31947	PF00244	248	222	9	231
P32321	PF00383	178	116	13	129
P32519	PF00178	619	81	209	290
P32780	PF08567	548	81	16	97
P32929	PF01053	405	376	19	395
P33552	PF01111	79	67	6	73
P33981	PF00069	857	266	525	791
P34741	PF01034	201	61	138	199
P34998	PF02793	444	64	41	105
P35226	PF13923	326	39	17	56
P35372	PF00001	400	251	87	338
P35398	PF00104	523	186	308	494
P35579	PF00063	1960	681	83	764
P35638	PF07716	169	54	97	151
P35916	PF07714	1363	324	845	1169
P35998	PF00004	433	133	212	345
P36404	PF00025	184	173	3	176
P36507	PF00069	400	297	72	369
P36873	PF00149	323	195	57	252
P36897	PF01064	503	76	34	110
P36897	PF00069	503	287	205	492
P37173	PF08917	567	110	49	159
P37198	PF05064	522	112	317	429
P37231	PF00104	505	187	299	486
P37840	PF01387	140	130	1	131
P38159	PF00076	391	70	10	80
P38398	PF00097	1863	40	24	64
P38936	PF02234	164	48	20	68
P40337	PF01847	213	81	63	144
P40424	PF00046	430	59	234	293
P40616	PF00025	181	172	5	177
P41134	PF00010	155	41	65	106
P41182	PF00651	706	107	22	129
P41220	PF00615	211	115	83	198
P41240	PF00017	450	74	82	156
P42025	PF00022	376	369	7	376
P42166	PF03020	694	39	111	150
P42224	PF00017	750	84	573	657
P42345	PF00454	2549	250	2181	2431
P42568	PF03366	568	81	29	110
P42575	PF00619	452	84	37	121
P42702	PF00041	1097	89	434	523
P42768	PF02205	502	27	427	454
P43119	PF00001	386	262	30	292
P43351	PF04098	418	148	35	183
P43405	PF07714	635	255	371	626
P43487	PF00638	201	124	37	161
P43686	PF00004	418	133	202	335
P45973	PF00385	191	49	20	69
P45983	PF00069	427	295	26	321
P45984	PF00069	424	295	26	321
P45985	PF00069	399	265	102	367
P46100	PF00271	2492	137	2018	2155
P46100	PF00176	2492	353	1536	1889
P46108	PF00017	304	91	13	104
P46109	PF00017	303	74	14	88
P46379	PF00240	1132	70	19	89
P46527	PF02234	198	48	31	79
P46734	PF00069	347	261	64	325
P46926	PF01182	289	229	8	237
P46934	PF00632	1319	305	1013	1318
P47224	PF04421	123	95	27	122
P47755	PF01267	286	267	17	284
P48039	PF00001	350	251	44	295
P48051	PF01007	423	324	57	381
P48431	PF00505	317	68	41	109
P48549	PF01007	501	322	47	369
P48637	PF03917	474	460	12	472
P48775	PF03301	406	346	26	372
P48995	PF00520	793	266	391	657
P49023	PF03535	591	209	44	253
P49336	PF00069	464	313	22	335
P49418	PF03114	695	220	13	233
P49450	PF00125	140	131	2	133
P49458	PF05486	86	69	4	73
P49459	PF00179	152	137	8	145
P49639	PF00046	335	56	230	286
P49674	PF00069	416	262	9	271
P49682	PF00001	368	248	70	318
P49715	PF07716	358	53	281	334
P49721	PF00227	201	180	3	183
P49754	PF00637	854	140	571	711
P49760	PF00069	499	316	163	479
P49761	PF00069	638	316	304	620
P49763	PF00341	221	78	52	130
P49768	PF01080	467	381	76	457
P49789	PF01230	147	96	9	105
P49795	PF00615	217	115	90	205
P49796	PF00615	1198	115	1073	1188
P49798	PF00615	205	115	62	177
P49840	PF00069	483	284	119	403
P49841	PF00069	420	284	56	340
P49902	PF05761	561	454	35	489
P49910	PF02023	485	89	45	134
P50213	PF00180	366	325	33	358
P50395	PF00996	445	435	1	436
P50402	PF03020	254	39	3	42
P50552	PF00568	380	109	1	110
P50613	PF00069	346	283	12	295
P50750	PF00069	372	296	19	315
P51149	PF00071	207	165	10	175
P51159	PF00071	221	172	11	183
P51398	PF10236	398	295	99	394
P51572	PF05529	246	223	1	224
P51617	PF00069	712	305	212	517
P51665	PF13012	324	111	166	277
P51665	PF01398	324	114	4	118
P51668	PF00179	147	137	5	142
P51677	PF00001	355	250	51	301
P51808	PF03645	116	96	17	113
P51809	PF00957	220	88	122	210
P51825	PF05110	1210	1199	8	1207
P51955	PF00069	445	263	8	271
P51965	PF00179	193	137	51	188
P52435	PF13656	117	74	30	104
P52564	PF00069	334	261	53	314
P52565	PF02115	204	190	11	201
P52803	PF00812	228	129	29	158
P52952	PF00046	324	56	139	195
P53350	PF00069	603	252	53	305
P53365	PF06456	341	227	89	316
P53567	PF07716	150	53	61	114
P53618	PF01602	953	515	18	533
P53779	PF00069	464	295	64	359
P53803	PF03604	58	31	17	48
P53999	PF02229	127	52	64	116
P54105	PF03517	237	129	35	164
P54132	PF00270	1417	172	669	841
P54198	PF09453	1017	22	448	470
P54253	PF08517	815	113	574	687
P54646	PF00069	552	252	16	268
P54725	PF00240	363	74	5	79
P54920	PF14938	295	280	8	288
P55196	PF00595	1824	82	1008	1090
P55209	PF00956	391	269	76	345
P55211	PF00619	416	86	6	92
P55212	PF00656	293	243	45	288
P55789	PF04777	205	92	104	196
P55854	PF11976	103	70	17	87
P55884	PF00076	814	58	202	260
P55884	PF08662	814	195	507	702
P55957	PF06393	195	189	3	192
P56279	PF01840	114	111	1	112
P56537	PF01912	245	200	4	204
P56597	PF05186	212	41	156	197
P57075	PF14604	661	54	283	337
P57086	PF02023	179	70	104	174
P57735	PF00071	213	161	14	175
P57740	PF04121	925	699	209	908
P57775	PF12937	412	46	28	74
P60228	PF01399	445	105	290	395
P60484	PF00782	403	106	67	173
P60510	PF00149	307	195	47	242
P60520	PF02991	117	103	13	116
P60604	PF00179	165	151	8	159
P60709	PF00022	375	373	2	375
P60896	PF05160	70	57	5	62
P60900	PF10584	246	22	9	31
P60900	PF00227	246	188	32	220
P60903	PF01023	97	39	5	44
P61024	PF01111	79	67	6	73
P61026	PF00071	200	161	11	172
P61077	PF00179	147	137	5	142
P61086	PF00179	200	141	8	149
P61088	PF00179	152	137	7	144
P61163	PF00022	376	369	7	376
P61204	PF00025	181	172	5	177
P61225	PF00071	183	161	5	166
P61244	PF00010	160	51	24	75
P61289	PF02252	254	144	108	252
P61326	PF02792	146	141	5	146
P61457	PF01329	104	93	6	99
P61586	PF00071	193	173	7	180
P61764	PF00995	594	552	29	581
P61769	PF07654	119	82	25	107
P61956	PF11976	95	70	18	88
P61966	PF01217	158	141	1	142
P61970	PF02136	127	111	10	121
P61981	PF00244	247	224	10	234
P62070	PF00071	204	169	8	177
P62136	PF00149	330	195	57	252
P62140	PF00149	327	195	56	251
P62191	PF00004	440	133	222	355
P62195	PF00004	406	133	186	319
P62258	PF00244	255	222	10	232
P62304	PF01423	92	66	23	89
P62306	PF01423	86	65	9	74
P62310	PF01423	102	78	19	97
P62312	PF01423	80	65	10	75
P62314	PF01423	119	65	5	70
P62316	PF01423	118	78	33	111
P62318	PF01423	126	65	8	73
P62328	PF01290	44	38	3	41
P62333	PF00004	389	133	170	303
P62487	PF03876	172	69	8	77
P62491	PF00071	216	161	13	174
P62701	PF00467	263	34	177	211
P62714	PF00149	309	195	50	245
P62826	PF00071	216	158	12	170
P62834	PF00071	184	162	5	167
P62837	PF00179	147	137	5	142
P62942	PF00254	108	92	13	105
P62993	PF00017	217	75	60	135
P62995	PF00076	288	70	120	190
P63000	PF00071	192	173	5	178
P63096	PF00503	354	330	13	343
P63104	PF00244	245	220	9	229
P63146	PF00179	152	137	8	145
P63165	PF11976	101	70	22	92
P63167	PF01221	89	83	5	88
P63208	PF01466	163	47	113	160
P63261	PF00022	375	373	2	375
P63279	PF00179	158	144	8	152
P67775	PF00149	309	195	50	245
P67809	PF00313	324	69	59	128
P67870	PF01214	215	183	8	191
P68036	PF00179	154	138	6	144
P68400	PF00069	391	285	39	324
P68402	PF13472	229	160	44	204
P68431	PF00125	136	131	1	132
P69905	PF00042	142	100	7	107
P78317	PF13639	190	47	130	177
P78330	PF00702	225	177	14	191
P78364	PF00536	1004	64	938	1002
P78368	PF00069	415	253	46	299
P84022	PF03166	425	171	230	401
P84077	PF00025	181	174	3	177
P84085	PF00025	180	172	5	177
P84103	PF00076	164	65	12	77
P84243	PF00125	136	131	1	132
P98170	PF13920	497	44	446	490
Q00526	PF00069	305	282	4	286
Q00535	PF00069	292	282	4	286
Q00536	PF00069	496	281	165	446
Q00604	PF00007	133	96	37	133
Q00613	PF00447	529	100	18	118
Q00653	PF00554	900	180	40	220
Q00987	PF02201	491	75	26	101
Q00987	PF13920	491	51	434	485
Q01081	PF00076	240	58	83	141
Q01094	PF02319	437	64	128	192
Q01105	PF00956	290	148	88	236
Q01130	PF00076	221	70	16	86
Q01196	PF00853	453	129	51	180
Q01201	PF00554	579	168	127	295
Q01658	PF00808	176	64	11	75
Q01831	PF03835	940	132	494	626
Q01860	PF00157	360	71	141	212
Q02078	PF00319	507	47	10	57
Q02218	PF00676	1023	326	256	582
Q02535	PF00010	119	41	40	81
Q02556	PF00605	426	104	9	113
Q02750	PF00069	393	293	68	361
Q03181	PF00104	441	186	236	422
Q03393	PF01242	145	132	13	145
Q04206	PF00554	551	165	21	186
Q04759	PF00069	706	254	380	634
Q04864	PF00554	619	168	10	178
Q05086	PF00632	875	299	576	875
Q05193	PF00169	864	104	520	624
Q05195	PF00010	221	52	57	109
Q05209	PF00102	780	234	58	292
Q05397	PF07714	1052	254	422	676
Q05397	PF03623	1052	132	914	1046
Q05516	PF00651	673	102	24	126
Q06187	PF00018	659	46	220	266
Q06587	PF00097	406	39	48	87
Q06609	PF14520	339	48	32	80
Q07666	PF00013	443	70	157	227
Q07812	PF00452	192	95	63	158
Q07817	PF00452	233	98	90	188
Q07820	PF00452	350	99	213	312
Q07869	PF00104	468	185	264	449
Q07889	PF00169	1333	118	428	546
Q07890	PF00169	1332	118	426	544
Q08117	PF03920	197	130	2	132
Q10586	PF07716	325	53	254	307
Q12772	PF00010	1141	50	331	381
Q12829	PF07525	278	36	189	225
Q12846	PF05739	297	56	236	292
Q12851	PF00069	820	257	16	273
Q12905	PF07528	390	234	104	338
Q12906	PF07528	894	248	94	342
Q12929	PF00018	822	45	537	582
Q12933	PF00097	501	38	34	72
Q12962	PF03540	218	49	128	177
Q12983	PF06553	194	191	2	193
Q13011	PF00378	328	260	62	322
Q13064	PF00097	507	53	311	364
Q13084	PF00830	256	62	76	138
Q13098	PF01399	491	104	324	428
Q13131	PF00069	559	252	27	279
Q13137	PF07888	446	120	21	141
Q13153	PF00069	545	251	270	521
Q13158	PF00531	208	83	98	181
Q13158	PF01335	208	81	4	85
Q13164	PF00069	816	292	55	347
Q13185	PF00385	183	49	30	79
Q13190	PF05739	355	52	299	351
Q13217	PF00226	504	65	394	459
Q13232	PF00334	169	134	22	156
Q13233	PF00069	1512	265	1243	1508
Q13241	PF00059	179	98	78	176
Q13257	PF02301	205	180	16	196
Q13277	PF05739	289	52	227	279
Q13309	PF12937	424	46	97	143
Q13315	PF00454	3056	249	2713	2962
Q13393	PF00169	1074	108	220	328
Q13404	PF00179	147	128	16	144
Q13415	PF00004	861	145	530	675
Q13416	PF04084	577	310	255	565
Q13418	PF07714	452	253	193	446
Q13426	PF06632	336	333	1	334
Q13439	PF01465	2230	40	2172	2212
Q13469	PF00554	925	160	410	570
Q13480	PF00169	694	110	6	116
Q13485	PF03166	552	209	321	530
Q13489	PF13920	604	45	553	598
Q13490	PF13920	618	45	567	612
Q13535	PF00454	2644	245	2322	2567
Q13546	PF00531	671	85	584	669
Q13546	PF07714	671	267	18	285
Q13547	PF00850	482	291	28	319
Q13555	PF00069	558	258	14	272
Q13561	PF04912	401	383	16	399
Q13562	PF00010	356	52	102	154
Q13569	PF03167	410	171	125	296
Q13595	PF00076	282	70	121	191
Q13616	PF00888	776	650	21	671
Q13617	PF00888	745	630	14	644
Q13617	PF10557	745	62	675	737
Q13618	PF00888	768	631	34	665
Q13619	PF00888	759	597	63	660
Q13619	PF10557	759	60	691	751
Q13620	PF00888	913	597	217	814
Q13620	PF10557	913	60	845	905
Q13627	PF00069	763	320	159	479
Q13761	PF00853	415	129	55	184
Q13765	PF01849	215	56	73	129
Q13794	PF15150	54	53	1	54
Q13829	PF02214	316	90	30	120
Q13838	PF00270	428	169	69	238
Q13867	PF03051	455	446	5	451
Q13873	PF01064	1038	94	33	127
Q13889	PF03850	308	278	8	286
Q13951	PF02312	182	167	1	168
Q13952	PF00808	458	64	41	105
Q14004	PF00069	1512	293	705	998
Q14011	PF00076	172	70	8	78
Q14134	PF00643	588	40	220	260
Q14141	PF00735	434	273	39	312
Q14152	PF01399	1382	130	365	495
Q14186	PF02319	410	81	112	193
Q14188	PF02319	446	80	128	208
Q14194	PF01979	572	389	64	453
Q14344	PF00503	377	338	28	366
Q14457	PF04111	450	311	135	446
Q14457	PF15285	450	24	105	129
Q14511	PF14604	834	51	10	61
Q14527	PF13920	1009	50	756	806
Q14573	PF00520	2671	322	2206	2528
Q14582	PF00010	209	52	54	106
Q14643	PF00520	2758	289	2320	2609
Q14653	PF10401	427	179	201	380
Q14781	PF00385	532	49	12	61
Q14919	PF00808	205	64	10	74
Q14974	PF03810	876	80	21	101
Q14BN4	PF00498	828	78	28	106
Q14CW9	PF08209	347	32	80	112
Q15019	PF00735	361	279	34	313
Q15022	PF09733	739	134	546	680
Q15054	PF09507	466	447	19	466
Q15075	PF01363	1411	64	1347	1411
Q15102	PF13472	231	159	43	202
Q15121	PF01335	130	81	4	85
Q15185	PF04969	160	75	4	79
Q15257	PF03095	358	326	26	352
Q15287	PF00076	305	71	163	234
Q15303	PF07714	1308	256	718	974
Q15311	PF00620	655	145	210	355
Q15369	PF03931	112	65	17	82
Q15382	PF00071	184	161	8	169
Q15544	PF04719	211	85	108	193
Q15596	PF08832	1464	73	636	709
Q15596	PF08815	1464	46	1071	1117
Q15628	PF00531	312	87	217	304
Q15631	PF01997	228	197	19	216
Q15669	PF00071	191	166	6	172
Q15672	PF00010	202	51	109	160
Q15722	PF00001	352	250	35	285
Q15744	PF07716	281	53	203	256
Q15750	PF00481	504	265	69	334
Q15759	PF00069	364	284	24	308
Q15788	PF08832	1441	80	628	708
Q15788	PF08815	1441	47	924	971
Q15796	PF03166	467	171	272	443
Q15797	PF03166	465	172	269	441
Q15819	PF00179	145	130	14	144
Q15831	PF00069	433	260	49	309
Q15843	PF00240	81	71	3	74
Q15853	PF00010	346	55	236	291
Q15910	PF00856	746	104	623	727
Q16206	PF00076	610	59	130	189
Q16222	PF01704	522	427	45	472
Q16236	PF03131	605	93	468	561
Q16539	PF00069	360	284	24	308
Q16543	PF08565	378	115	161	276
Q16543	PF03234	378	163	1	164
Q16548	PF00452	175	103	37	140
Q16594	PF02291	264	121	9	130
Q16602	PF02793	461	68	62	130
Q16611	PF00452	211	99	78	177
Q16621	PF03131	373	93	237	330
Q16623	PF05739	288	52	228	280
Q16633	PF09310	256	248	7	255
Q16637	PF06003	294	267	26	293
Q16644	PF00069	382	260	44	304
Q16659	PF00069	721	296	20	316
Q16665	PF11413	826	30	551	581
Q16667	PF05706	212	167	1	168
Q16695	PF00125	136	131	1	132
Q16763	PF00179	222	137	15	152
Q16777	PF00125	129	89	2	91
Q16851	PF01704	508	418	55	473
Q16873	PF01124	150	121	8	129
Q30201	PF00129	348	176	26	202
Q3B726	PF03876	338	69	54	123
Q53EZ4	PF12180	464	33	171	204
Q53GL0	PF00169	409	110	22	132
Q53HL2	PF10444	280	56	20	76
Q5S007	PF00069	2527	251	1881	2132
Q5VZM2	PF04670	374	254	42	296
Q5XUX0	PF12937	539	46	67	113
Q68E01	PF10189	1043	224	271	495
Q6P1M3	PF00400	1020	37	414	451
Q6P3S6	PF12937	717	42	47	89
Q6PH85	PF03556	259	110	136	246
Q6XZF7	PF03114	1577	212	997	1209
Q6ZN17	PF00313	250	72	30	102
Q6ZNA4	PF13639	994	43	940	983
Q7KZI7	PF00069	788	251	53	304
Q7L2H7	PF01399	374	101	235	336
Q7L3B6	PF08565	337	110	168	278
Q7L523	PF04670	313	226	9	235
Q7L5N1	PF01398	327	112	36	148
Q7L804	PF09457	512	47	452	499
Q7Z3B3	PF15275	1105	155	885	1040
Q7Z4G1	PF07258	85	69	16	85
Q7Z589	PF03735	1322	69	17	86
